City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Talnakh,RU,69.4865,88.3972,-17.84,100,99,2.71,overcast clouds
108,Victoria,HK,22.2855,114.1577,60.24,83,100,4.0,overcast clouds
109,Yellowknife,CA,62.456,-114.3525,-10.59,86,20,8.05,few clouds
110,Vila Velha,BR,-20.3297,-40.2925,78.75,87,75,8.01,broken clouds
111,Georgetown,MY,5.4112,100.3354,79.9,83,20,3.44,few clouds
112,Komatipoort,ZA,-25.4332,31.9548,72.05,93,76,8.97,light rain
113,Hambantota,LK,6.1241,81.1185,72.63,86,59,13.65,broken clouds
114,Quatre Cocos,MU,-20.2078,57.7625,80.1,82,100,17.4,moderate rain
115,Kranj,SI,46.2389,14.3556,43.65,57,75,4.61,broken clouds
116,Mettet,BE,50.3212,4.6623,44.26,70,100,20.71,overcast clouds
117,Port-Gentil,GA,-0.7193,8.7815,79.57,81,10,11.54,clear sky
118,East London,ZA,-33.0153,27.9116,69.35,88,100,16.53,light rain
119,Mahebourg,MU,-20.4081,57.7,80.26,82,100,18.14,light rain
120,Concordia,AR,-31.393,-58.0209,78.78,56,0,15.99,clear sky
121,Puerto Ayacucho,VE,5.6639,-67.6236,85.82,55,76,8.16,broken clouds
122,Saint-Joseph,RE,-21.3667,55.6167,79.18,83,100,13.96,overcast clouds
123,Kosa,RU,59.9445,54.9977,13.64,98,94,4.38,overcast clouds
124,Mpulungu,ZM,-8.7623,31.1141,70.18,79,96,3.24,overcast clouds
125,Sipkovica,MK,42.035,20.9156,29.16,90,99,3.15,overcast clouds
126,Port Lincoln,AU,-34.7333,135.8667,71.69,65,98,16.58,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,70.68,83,87,26.22,overcast clouds
128,Mbengwi,CM,6.0167,10.0,66.83,30,7,1.57,clear sky
129,Kahului,US,20.8947,-156.47,82.42,67,40,11.5,scattered clouds
130,Cockburn Town,TC,21.4612,-71.1419,76.28,65,75,17.22,broken clouds
131,Sakaiminato,JP,35.55,133.2333,31.93,58,100,25.79,light snow
132,Bubaque,GW,11.2833,-15.8333,78.17,71,1,13.11,clear sky
133,Ilulissat,GL,69.2167,-51.1,-0.9,75,100,8.41,overcast clouds
134,Acapulco,MX,16.8634,-99.8901,84.02,70,0,5.75,clear sky
135,Douglas,US,41.3,-96.167,55.22,27,0,3.0,clear sky
136,Iracoubo,GF,5.4802,-53.2011,77.23,85,68,10.49,broken clouds
137,Isangel,VU,-19.55,169.2667,82.51,89,75,9.22,broken clouds
138,Sertania,BR,-8.0736,-37.2644,83.62,33,100,4.5,overcast clouds
139,Kaitangata,NZ,-46.2817,169.8464,54.93,60,95,5.86,overcast clouds
140,Theunissen,ZA,-28.411,26.7011,62.56,76,23,15.57,few clouds
141,Tenenkou,ML,14.4572,-4.9169,73.26,9,0,10.27,clear sky
142,Yeppoon,AU,-23.1333,150.7333,74.98,63,48,18.32,scattered clouds
143,Luba,GQ,3.4568,8.5547,80.53,78,8,6.64,clear sky
144,Ribeira Grande,PT,38.5167,-28.7,60.33,76,28,11.23,scattered clouds
145,Chulman,RU,56.8479,124.9104,-26.23,100,100,2.71,overcast clouds
146,Tuktoyaktuk,CA,69.4541,-133.0374,-27.76,100,79,9.48,broken clouds
147,Ramshir,IR,30.8946,49.4092,55.33,53,0,8.14,clear sky
148,Cape Town,ZA,-33.9258,18.4232,73.11,63,5,1.01,clear sky
149,Tongling,CN,30.95,117.7833,33.06,73,100,7.27,overcast clouds
150,Krasne,UA,49.9145,24.6134,34.95,88,96,14.03,overcast clouds
151,Bjornevatn,NO,69.6672,29.9847,19.74,86,75,21.85,broken clouds
152,Kruisfontein,ZA,-34.0033,24.7314,67.89,80,52,16.71,broken clouds
153,Vestmannaeyjar,IS,63.4427,-20.2734,29.3,67,92,10.67,overcast clouds
154,Garowe,SO,8.4054,48.4845,66.56,66,75,8.03,broken clouds
155,San Policarpo,PH,12.1791,125.5072,80.04,75,100,17.45,overcast clouds
156,Moose Factory,CA,51.2585,-80.6094,-6.97,93,87,1.5,overcast clouds
157,Fairbanks,US,64.8378,-147.7164,15.82,78,100,0.0,overcast clouds
158,Castro,BR,-24.7911,-50.0119,67.98,96,68,9.35,moderate rain
159,Puerto Leguizamo,CO,-0.1934,-74.7819,79.39,92,66,1.63,broken clouds
160,Carnarvon,AU,-24.8667,113.6333,77.07,88,75,9.22,broken clouds
161,Thompson,CA,55.7435,-97.8558,-7.47,86,100,4.74,overcast clouds
162,Kushima,JP,31.4583,131.2333,35.11,72,10,8.81,clear sky
163,Komsomolskiy,UZ,40.4272,71.7189,38.62,35,100,2.3,overcast clouds
164,Vardo,NO,70.3705,31.1107,26.85,79,97,28.74,overcast clouds
165,Mangaratiba,BR,-22.9597,-44.0406,77.86,89,82,2.82,broken clouds
166,Tuatapere,NZ,-46.1333,167.6833,51.28,78,99,3.4,overcast clouds
167,Santiago Del Estero,AR,-27.7951,-64.2615,78.28,56,76,12.41,broken clouds
168,Mar Del Plata,AR,-38.0023,-57.5575,64.09,83,100,5.01,overcast clouds
169,Barrow,US,71.2906,-156.7887,-18.38,69,0,12.66,clear sky
170,Norman Wells,CA,65.282,-126.8329,-3.51,90,97,6.85,overcast clouds
171,Rio Grande,BR,-32.035,-52.0986,75.94,75,29,9.84,scattered clouds
172,Hermanus,ZA,-34.4187,19.2345,72.9,83,26,14.67,scattered clouds
173,Kajaani,FI,64.2273,27.7285,21.25,86,100,11.5,overcast clouds
174,Atuona,PF,-9.8,-139.0333,79.03,77,6,22.24,clear sky
175,Gravdal,NO,68.1214,13.5031,37.94,80,97,29.55,light rain
176,Nurota,UZ,40.5614,65.6886,44.69,51,100,18.03,overcast clouds
177,Torbay,CA,47.6666,-52.7314,50.4,94,100,5.99,light rain
178,Nanortalik,GL,60.1432,-45.2371,9.68,59,75,14.05,broken clouds
179,Guerrero Negro,MX,27.9769,-114.0611,70.09,22,0,7.52,clear sky
180,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,78,0,12.66,clear sky
181,Flinders,AU,-34.5833,150.8552,71.2,79,87,8.99,overcast clouds
182,Plouzane,FR,48.3833,-4.6167,50.32,87,75,19.57,broken clouds
183,Trapani,IT,37.8333,12.6667,53.28,90,95,2.62,overcast clouds
184,Port Blair,IN,11.6667,92.75,78.4,81,69,6.17,broken clouds
185,Okhotsk,RU,59.3833,143.3,-9.6,71,21,13.06,few clouds
186,Maningrida,AU,-12.0667,134.2667,77.83,84,95,4.29,overcast clouds
187,Ambanja,MG,-13.6833,48.45,71.91,91,100,3.11,light rain
188,Le Port,RE,-20.9373,55.2919,80.6,84,100,18.32,light rain
189,Butaritari,KI,3.0707,172.7902,82.67,73,52,19.33,broken clouds
190,Alyangula,AU,-13.8483,136.4192,80.35,80,95,8.08,overcast clouds
191,Dingle,PH,10.9995,122.6711,74.28,84,92,10.6,overcast clouds
192,Acari,PE,-15.4311,-74.6158,77.95,61,0,9.37,clear sky
193,Yulara,AU,-25.2406,130.9889,69.64,49,0,9.22,clear sky
194,Ucluelet,CA,48.9329,-125.5528,48.09,87,100,1.86,overcast clouds
195,Cabedelo,BR,-6.9811,-34.8339,79.47,69,23,11.59,few clouds
196,Tiksi,RU,71.6872,128.8694,-22.47,98,91,7.61,overcast clouds
197,Nikolskoye,RU,59.7035,30.7861,26.87,95,100,8.19,snow
198,Asau,RO,46.4333,26.4,33.4,91,88,3.42,overcast clouds
199,Nieuwpoort,BE,51.1244,2.7735,50.02,84,100,19.57,light intensity drizzle
200,Avarua,CK,-21.2078,-159.775,78.85,89,75,18.41,light rain
201,Tazovskiy,RU,67.4667,78.7,-14.35,100,87,7.05,overcast clouds
202,Krasnoborsk,RU,61.5598,45.934,-2.09,99,76,3.58,broken clouds
203,Antofagasta,CL,-23.65,-70.4,69.08,72,6,7.81,clear sky
204,Sinegorye,RU,62.0788,150.477,-21.6,79,9,0.63,clear sky
205,Umm Kaddadah,SD,13.6017,26.6876,57.56,20,73,16.82,broken clouds
206,Kavieng,PG,-2.5744,150.7967,82.29,75,53,4.59,broken clouds
207,Harper,LR,4.375,-7.7169,79.83,84,17,9.4,few clouds
208,Bredasdorp,ZA,-34.5322,20.0403,68.29,86,87,14.45,overcast clouds
209,Cherskiy,RU,68.75,161.3,-32.85,97,17,1.52,few clouds
210,Uchaly,RU,54.2996,59.4521,8.91,97,100,2.24,overcast clouds
211,Hokitika,NZ,-42.7167,170.9667,62.42,61,100,8.9,overcast clouds
212,Chuy,UY,-33.6971,-53.4616,70.03,84,65,9.33,broken clouds
213,Hualmay,PE,-11.0964,-77.6139,74.16,73,21,11.88,few clouds
214,Tena,EC,-0.9833,-77.8167,79.56,90,66,1.3,light rain
215,Boca Do Acre,BR,-8.7522,-67.3978,80.4,76,96,3.85,overcast clouds
216,Algiers,DZ,36.7525,3.042,49.82,93,40,2.3,scattered clouds
217,Port Elizabeth,ZA,-33.918,25.5701,70.11,81,47,21.83,scattered clouds
218,Fortuna,US,40.5982,-124.1573,61.86,61,0,4.0,clear sky
219,Leningradskiy,RU,69.3833,178.4167,-22.02,96,8,3.74,clear sky
220,Westerland,DE,54.9079,8.3033,44.62,93,100,26.46,light rain
221,Te Anau,NZ,-45.4167,167.7167,56.73,56,13,4.05,few clouds
