City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Tarkwa,GH,77.41,clear sky,5.3064,-1.9847,Te Deum Lodge
408,Sambava,MG,75.49,light rain,-14.2667,50.1667,Melrose
409,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
410,Anito,PH,77.27,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
412,Savalou,BJ,83.91,clear sky,7.9281,1.9756,Hotel F&F
416,Ayame,CI,78.53,broken clouds,5.6083,-3.1563,Hotel Bossan
422,Novo Aripuana,BR,79.38,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
428,Buala,SB,83.64,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
430,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
435,Kirakira,SB,83.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
439,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
452,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
454,Olinda,BR,82.13,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
455,Kerema,PG,78.84,overcast clouds,-7.9631,145.7785,Frena Lodge
458,Finschhafen,PG,82.58,overcast clouds,-6.6024,147.8681,Cossam Guest House
463,Maroon Town,JM,75.6,few clouds,18.3446,-77.7954,Traveler's Rest @ Maroon Town
466,Quarai,BR,85.28,clear sky,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
478,Boa Viagem,BR,81.95,overcast clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
482,Niamey,NE,75.49,dust,13.5137,2.1098,Soluxe Hotel Niamey
485,Gurun,MY,79.74,overcast clouds,5.8172,100.4738,The Jerai Hill Resort
492,Tubuala,PA,87.91,few clouds,9.5167,-79.0333,Río Nabagana
496,Hostotipaquillo,MX,82.49,few clouds,21.0667,-104.0667,Departamento Luna
501,Trincomalee,LK,78.26,broken clouds,8.5711,81.2335,Welcombe Hotel
503,Bac Lieu,VN,75.56,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
506,Caravelas,BR,77.67,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
508,Borba,BR,78.1,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
511,San Matias,BO,81.93,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
516,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
517,Vaitape,PF,81.72,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
522,Xai-Xai,MZ,75.67,light rain,-25.0519,33.6442,Complexo da Familia
530,Manokwari,ID,77.99,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
532,Conceicao Do Araguaia,BR,78.04,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
534,Gladstone,AU,76.93,clear sky,-23.85,151.25,Highpoint International Hotel
540,Acajutla,SV,85.8,few clouds,13.5928,-89.8275,Laureles
548,Sola,VU,82.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
556,Vanimo,PG,78.71,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
559,Gamboma,CG,79.23,overcast clouds,-1.8764,15.8644,Residence N'Keni
563,Waingapu,ID,78.3,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
564,Ndjole,GA,76.14,clear sky,-0.1783,10.7649,Motel Kédyann
565,Cozumel,MX,80.67,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
566,Kupang,ID,78.91,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
568,Batticaloa,LK,75.72,broken clouds,7.7102,81.6924,Grand Star Guest House
574,Gambela,ET,80.38,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
575,Cairns,AU,80.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
576,Karratha,AU,83.61,broken clouds,-20.7377,116.8463,ibis Styles Karratha
578,Coahuayana,MX,89.08,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
580,Auki,SB,82.89,overcast clouds,-8.7676,160.7034,Auki Motel
582,Meulaboh,ID,75.43,overcast clouds,4.1363,96.1285,Kost Pria
584,Inirida,CO,79.07,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
588,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
593,Itarema,BR,79.5,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
600,Loiza,PR,75.2,moderate rain,18.4313,-65.8802,Malibu Beachfront
601,Tecoanapa,MX,84.15,clear sky,16.5167,-98.75,Hotel Manglares
617,Hua Hin,TH,81.0,few clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
635,Zaraza,VE,82.87,broken clouds,9.3503,-65.3245,Hotel Zaraza
637,Porangatu,BR,75.42,moderate rain,-13.4408,-49.1486,Wembley Park Hotel
639,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
642,Saint-Paul,RE,80.71,light rain,-21.0096,55.2707,Boucan Canot
644,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
645,Madang,PG,77.86,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
647,Kismayo,SO,77.88,scattered clouds,-0.3582,42.5454,Agan-Hotel
650,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
657,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
658,Porto Velho,BR,82.45,few clouds,-8.7619,-63.9039,Hotel Central
