City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Hede,CN,2022-01-30 06:28:28,33.7681,120.2517,44.06,32,56,8.16
119,Bathsheba,BB,2022-01-30 06:28:28,13.2167,-59.5167,76.06,70,10,13.91
120,Eureka,US,2022-01-30 06:28:12,40.8021,-124.1637,48.92,92,10,1.01
121,Torrington,US,2022-01-30 06:28:28,41.8007,-73.1212,9.14,62,96,4.0
122,Chuy,UY,2022-01-30 06:28:29,-33.6971,-53.4616,63.16,82,18,4.85
123,Sitka,US,2022-01-30 06:28:29,57.0531,-135.33,33.69,86,75,9.22
124,Adrar,MR,2022-01-30 06:26:01,20.5022,-10.0711,67.28,15,98,11.59
125,Katsuura,JP,2022-01-30 06:28:29,35.1333,140.3,49.19,47,93,7.4
126,Tabuk,PH,2022-01-30 06:28:30,17.4189,121.4443,72.64,93,72,11.16
127,Aykhal,RU,2022-01-30 06:28:30,66.0,111.5,-15.0,99,24,5.17
128,Kaitangata,NZ,2022-01-30 06:28:30,-46.2817,169.8464,58.5,91,100,0.25
129,Varberg,SE,2022-01-30 06:28:30,57.1056,12.2508,46.4,53,41,35.54
130,Luang Prabang,LA,2022-01-30 06:28:31,19.8856,102.1347,82.36,42,20,6.91
131,Airai,TL,2022-01-30 06:28:31,-8.9266,125.4092,68.61,71,100,5.66
132,Jati,PK,2022-01-30 06:28:31,24.3539,68.2671,76.1,53,0,9.06
133,Mandalgovi,MN,2022-01-30 06:23:52,45.7625,106.2708,6.71,57,45,21.65
134,Lebu,CL,2022-01-30 06:28:32,-37.6167,-73.65,55.4,90,25,7.2
135,Ossora,RU,2022-01-30 06:28:32,59.2353,163.0719,18.73,93,100,25.59
136,Caravelas,BR,2022-01-30 06:28:32,-17.7125,-39.2481,75.2,88,38,7.52
137,Acapulco,MX,2022-01-30 06:25:05,16.8634,-99.8901,78.62,83,40,4.61
138,Sao Felix Do Xingu,BR,2022-01-30 06:28:32,-6.6447,-51.995,69.3,98,100,1.16
139,Hambantota,LK,2022-01-30 06:28:33,6.1241,81.1185,89.94,66,75,4.61
140,Codrington,AU,2022-01-30 06:28:33,-38.2667,141.9667,70.16,79,92,12.8
141,Mehamn,NO,2022-01-30 06:28:33,71.0357,27.8492,20.73,91,87,7.63
142,Vangaindrano,MG,2022-01-30 06:29:33,-23.35,47.6,80.73,64,1,3.91
143,Safranbolu,TR,2022-01-30 06:29:34,41.2508,32.6942,24.53,92,73,2.39
144,Coihaique,CL,2022-01-30 06:25:59,-45.5752,-72.0662,46.35,76,100,6.91
145,Kahului,US,2022-01-30 06:29:34,20.8947,-156.47,73.85,70,20,6.91
146,Kodinsk,RU,2022-01-30 06:29:34,58.6881,99.1844,7.68,89,100,2.3
147,Damaturu,NG,2022-01-30 06:29:34,11.747,11.9608,55.31,45,57,8.66
148,Maromitsa,RU,2022-01-30 06:29:35,59.8683,48.0123,7.9,96,96,5.08
149,Guerrero Negro,MX,2022-01-30 06:29:35,27.9769,-114.0611,60.66,69,31,12.84
150,Warrnambool,AU,2022-01-30 06:29:35,-38.3833,142.4833,68.95,84,93,14.7
151,Naze,JP,2022-01-30 06:29:36,28.3667,129.4833,56.32,78,100,17.22
152,Dikson,RU,2022-01-30 06:29:36,73.5069,80.5464,6.49,95,100,15.46
153,Sorland,NO,2022-01-30 06:29:36,67.667,12.6934,36.48,54,90,27.31
154,Mackay,AU,2022-01-30 06:29:36,-21.15,149.2,86.68,74,100,16.11
155,Ambon,ID,2022-01-30 06:29:37,-3.6954,128.1814,91.54,58,40,9.22
156,Izhma,RU,2022-01-30 06:29:37,65.0083,53.9113,15.42,93,100,8.34
157,Bambous Virieux,MU,2022-01-30 06:29:37,-20.3428,57.7575,86.22,70,75,12.66
158,Hithadhoo,MV,2022-01-30 06:29:37,-0.6,73.0833,81.54,67,75,4.12
159,Banff,CA,2022-01-30 06:29:38,51.1762,-115.5698,28.78,59,100,10.36
160,Lavrentiya,RU,2022-01-30 06:29:38,65.5833,-171.0,-3.51,88,19,4.63
161,Vengerovo,RU,2022-01-30 06:29:38,55.6848,76.7471,7.0,87,100,10.51
162,Mount Isa,AU,2022-01-30 06:29:38,-20.7333,139.5,85.77,62,75,16.11
163,Urubicha,BO,2022-01-30 06:29:39,-15.3833,-62.95,69.69,98,95,0.36
164,Tuktoyaktuk,CA,2022-01-30 06:29:39,69.4541,-133.0374,-4.0,77,75,18.41
165,Bambanglipuro,ID,2022-01-30 06:29:40,-7.95,110.2833,85.06,69,81,8.5
166,Bethel,US,2022-01-30 06:29:40,41.3712,-73.414,12.04,53,0,6.91
167,Acajutla,SV,2022-01-30 06:29:40,13.5928,-89.8275,74.8,57,32,12.66
168,Fortuna,US,2022-01-30 06:29:40,40.5982,-124.1573,48.65,95,100,1.01
169,Namatanai,PG,2022-01-30 06:29:41,-3.6667,152.4333,82.92,75,100,5.97
170,Port Lincoln,AU,2022-01-30 06:29:41,-34.7333,135.8667,74.07,63,3,10.76
171,Taoudenni,ML,2022-01-30 06:29:41,22.6783,-3.9836,68.05,17,99,10.42
172,Faanui,PF,2022-01-30 06:29:42,-16.4833,-151.75,80.74,70,100,5.23
173,Boyolangu,ID,2022-01-30 06:29:42,-8.1181,111.8935,84.54,72,92,7.16
174,Nikolskoye,RU,2022-01-30 06:29:43,59.7035,30.7861,28.87,93,100,14.47
175,Tasiilaq,GL,2022-01-30 06:29:43,65.6145,-37.6368,8.76,65,91,10.0
176,Buchanan,LR,2022-01-30 06:29:43,5.8808,-10.0467,75.16,89,30,4.83
177,Havre-Saint-Pierre,CA,2022-01-30 06:29:43,50.2334,-63.5986,17.6,85,100,17.27
178,Changping,CN,2022-01-30 06:29:44,40.2186,116.2197,35.24,34,9,4.21
179,Cidreira,BR,2022-01-30 06:29:44,-30.1811,-50.2056,71.55,65,15,12.21
180,Joshimath,IN,2022-01-30 06:29:44,30.5667,79.5667,55.4,33,0,4.32
181,Burnie,AU,2022-01-30 06:29:44,-41.0667,145.9167,72.95,69,4,6.89
182,Stokmarknes,NO,2022-01-30 06:29:45,68.5646,14.9108,28.49,75,100,2.26
183,Lora Del Rio,ES,2022-01-30 06:29:45,37.659,-5.5275,51.6,27,40,8.1
184,Zhigansk,RU,2022-01-30 06:29:45,66.7697,123.3711,-25.55,99,96,5.57
185,Santa Fe,AR,2022-01-30 06:29:45,-31.6333,-60.7,70.99,72,0,1.99
186,Santa Cruz,BO,2022-01-30 06:30:04,-17.8,-63.1667,72.86,94,20,2.3
187,Cap Malheureux,MU,2022-01-30 06:30:46,-19.9842,57.6142,86.47,60,48,7.0
188,Portland,US,2022-01-30 06:26:11,45.5234,-122.6762,42.37,77,0,8.01
189,Manokwari,ID,2022-01-30 06:30:46,-0.8667,134.0833,80.94,78,100,5.61
190,Nishihara,JP,2022-01-30 06:30:06,26.1842,127.7558,64.06,94,100,14.97
191,Pacific Grove,US,2022-01-30 06:30:46,36.6177,-121.9166,53.31,84,0,11.01
192,Jalu,LY,2022-01-30 06:30:47,29.0331,21.5482,52.2,64,100,8.37
193,Saint-Philippe,RE,2022-01-30 06:30:47,-21.3585,55.7679,85.59,74,24,11.41
194,Ekhabi,RU,2022-01-30 06:30:47,53.5102,142.9671,-4.25,94,100,6.69
195,Severo-Kurilsk,RU,2022-01-30 06:30:48,50.6789,156.125,25.56,92,100,16.13
196,Narsaq,GL,2022-01-30 06:30:48,60.9167,-46.05,8.82,78,91,6.67
197,Marsa Matruh,EG,2022-01-30 06:30:48,31.3525,27.2453,51.37,64,13,20.94
198,Grand-Santi,GF,2022-01-30 06:30:48,4.25,-54.3833,69.26,100,99,1.88
199,Leo,BF,2022-01-30 06:30:49,11.1,-2.1,68.14,19,0,10.69
200,Alibag,IN,2022-01-30 06:30:49,18.6411,72.8792,86.07,38,5,6.71
201,Bridlington,GB,2022-01-30 06:30:49,54.0831,-0.1919,39.88,78,25,8.99
202,San Quintin,MX,2022-01-30 06:30:50,30.4833,-115.95,57.79,78,0,7.31
203,Yambio,SS,2022-01-30 06:30:50,4.5721,28.3955,78.13,17,5,8.3
204,Eyl,SO,2022-01-30 06:30:50,7.9803,49.8164,81.36,54,98,18.25
205,Estancia,BR,2022-01-30 06:30:50,-11.2683,-37.4383,80.08,81,100,3.89
206,Levelland,US,2022-01-30 06:30:51,33.5873,-102.378,42.96,22,7,9.82
207,Inhambane,MZ,2022-01-30 06:30:51,-23.865,35.3833,82.38,65,40,7.74
208,Linxia,CN,2022-01-30 06:30:51,35.6003,103.2064,24.69,60,47,3.94
209,Ulaangom,MN,2022-01-30 06:30:52,49.9811,92.0667,-14.03,95,94,3.31
210,Alugan,PH,2022-01-30 06:30:52,12.2188,125.4808,82.65,75,20,7.38
211,Kitimat,CA,2022-01-30 06:30:52,54.0524,-128.6534,37.9,31,100,3.94
212,Tumaco,CO,2022-01-30 06:30:52,1.7986,-78.8156,74.21,90,94,2.62
213,Belle Fourche,US,2022-01-30 06:30:53,44.6714,-103.8522,35.51,26,20,4.94
214,Broken Hill,AU,2022-01-30 06:30:53,-31.95,141.4333,92.91,36,40,14.97
215,Avera,US,2022-01-30 06:30:53,33.194,-82.5271,30.07,36,1,5.84
216,Nuevitas,CU,2022-01-30 06:30:53,21.5453,-77.2644,63.84,66,100,11.7
217,Kedrovyy,RU,2022-01-30 06:30:54,56.1667,91.8167,0.01,80,39,3.02
218,Rawlins,US,2022-01-30 06:30:08,41.7911,-107.2387,32.22,36,0,10.36
219,Anloga,GH,2022-01-30 06:30:54,5.7947,0.8973,71.82,73,100,4.56
220,Tiarei,PF,2022-01-30 06:30:54,-17.5333,-149.3333,78.82,74,69,7.38
221,Steinbach,DE,2022-01-30 06:30:54,50.1667,8.5667,44.6,63,75,13.8
222,Clacton-On-Sea,GB,2022-01-30 06:30:55,51.7897,1.156,38.97,87,7,3.0
223,Kirakira,SB,2022-01-30 06:30:55,-10.4544,161.9205,81.97,84,100,7.52
224,Santa Cruz Del Sur,CU,2022-01-30 06:30:55,20.7147,-77.9956,65.88,69,100,14.58
225,Sola,VU,2022-01-30 06:30:56,-13.8833,167.55,82.4,80,100,17.25
226,Dubno,UA,2022-01-30 06:30:56,50.4169,25.7343,36.9,89,100,21.05
227,Haines Junction,CA,2022-01-30 06:27:14,60.7522,-137.5108,8.55,85,98,4.61
228,Kaeo,NZ,2022-01-30 06:31:56,-35.1,173.7833,70.32,73,100,10.04
229,Saint George,US,2022-01-30 06:28:30,37.1041,-113.5841,48.34,32,0,4.61
230,Lorengau,PG,2022-01-30 06:31:56,-2.0226,147.2712,81.64,77,100,10.78
231,Lompoc,US,2022-01-30 06:31:57,34.6391,-120.4579,56.19,81,0,4.61
232,Mangan,IN,2022-01-30 06:31:57,27.5167,88.5333,60.73,58,70,7.4
233,Nanakuli,US,2022-01-30 06:31:57,21.3906,-158.1547,73.71,64,0,4.61
234,Nabire,ID,2022-01-30 06:31:58,-3.3667,135.4833,80.11,87,100,5.26
235,Vestmannaeyjar,IS,2022-01-30 06:31:58,63.4427,-20.2734,38.37,84,100,23.24
236,San Patricio,US,2022-01-30 06:31:58,28.017,-97.5169,55.24,64,0,7.16
237,Upland,US,2022-01-30 06:29:56,34.0975,-117.6484,56.82,37,0,5.75
238,Lensk,RU,2022-01-30 06:31:58,60.7253,114.9278,0.63,93,93,5.12
239,Buraydah,SA,2022-01-30 06:31:59,26.326,43.975,50.45,34,0,11.56
240,Ostrovnoy,RU,2022-01-30 06:31:59,68.0531,39.5131,19.49,92,100,10.58
241,Zlotoryja,PL,2022-01-30 06:31:59,51.1264,15.9198,40.17,76,100,33.64
242,Tura,IN,2022-01-30 06:32:00,25.5198,90.2201,68.67,35,27,5.14
243,Virginia Beach,US,2022-01-30 06:27:49,36.8529,-75.978,25.02,50,0,16.11
244,Mahajanga,MG,2022-01-30 06:32:00,-15.7167,46.3167,87.82,62,20,4.61
245,Biltine,TD,2022-01-30 06:32:00,14.5333,20.9167,61.84,19,2,11.72
246,Nanortalik,GL,2022-01-30 06:32:01,60.1432,-45.2371,12.9,89,100,9.33
247,Venezuela,VE,2022-01-30 06:32:01,8.0,-66.0,74.44,74,9,14.5
248,Pachora,IN,2022-01-30 06:32:01,20.6667,75.35,80.67,18,0,2.91
249,Jiujiang,CN,2022-01-30 06:32:01,29.7333,115.9833,42.76,65,99,5.68
250,Hovd,MN,2022-01-30 06:32:02,48.0056,91.6419,-4.41,82,23,3.47
251,Kisangani,CD,2022-01-30 06:32:02,0.5167,25.2,79.68,34,28,3.36
252,Acarau,BR,2022-01-30 06:32:02,-2.8856,-40.12,75.22,88,99,6.71
253,Jambi,ID,2022-01-30 06:32:02,-1.6,103.6167,89.28,57,87,5.19
254,Phalombe,MW,2022-01-30 06:32:03,-15.8064,35.6507,74.91,74,0,2.42
255,Sadat,IN,2022-01-30 06:32:03,25.6833,83.2833,68.09,39,0,9.73
256,Ruthin,GB,2022-01-30 06:32:03,53.1137,-3.3178,42.44,89,98,4.07
257,Mogadishu,SO,2022-01-30 06:32:04,2.0371,45.3438,82.27,69,75,18.41
258,Tautira,PF,2022-01-30 06:32:04,-17.7333,-149.15,78.82,77,43,8.97
259,Khatanga,RU,2022-01-30 06:32:04,71.9667,102.5,-19.48,95,99,7.36
260,Vardo,NO,2022-01-30 06:32:05,70.3705,31.1107,26.15,73,91,5.88
261,Gushi,CN,2022-01-30 06:32:05,34.6425,109.5843,41.77,61,38,10.83
262,Lagoa,PT,2022-01-30 06:32:05,39.05,-27.9833,57.54,70,10,17.83
263,Borogontsy,RU,2022-01-30 06:32:05,62.6683,131.1683,-25.73,98,74,1.66
264,Tabou,CI,2022-01-30 06:32:06,4.423,-7.3528,76.19,91,63,4.29
265,Springbok,ZA,2022-01-30 06:32:07,-29.6643,17.8865,81.18,26,0,8.05
266,Victoria,HK,2022-01-30 06:30:11,22.2855,114.1577,68.25,62,55,8.01
267,Krasnoselkup,RU,2022-01-30 06:32:07,65.7,82.4667,-3.41,97,98,8.57
268,Evensk,RU,2022-01-30 06:32:07,61.95,159.2333,21.6,57,98,24.18
269,Sotuta,MX,2022-01-30 06:32:07,20.6,-89.0167,60.82,78,54,3.33
270,Comodoro Rivadavia,AR,2022-01-30 06:29:04,-45.8667,-67.5,58.86,33,0,19.57
271,Rio Gallegos,AR,2022-01-30 06:32:08,-51.6226,-69.2181,42.85,81,0,18.41
272,Zeya,RU,2022-01-30 06:32:08,53.75,127.2667,8.08,67,27,4.27
273,Ust-Tsilma,RU,2022-01-30 06:32:09,65.441,52.1498,12.56,94,97,6.24
274,Chingirlau,KZ,2022-01-30 06:32:09,51.095,54.0814,29.71,93,100,17.58
275,Provideniya,RU,2022-01-30 06:33:09,64.3833,-173.3,4.05,79,8,5.68
276,Alofi,NU,2022-01-30 06:33:09,-19.0595,-169.9187,80.49,83,100,4.61
277,Srednekolymsk,RU,2022-01-30 06:33:10,67.45,153.6833,-28.46,100,75,2.46
278,Cao Bang,VN,2022-01-30 06:33:10,22.6667,106.25,54.68,71,100,4.94
279,Sabang,ID,2022-01-30 06:29:49,5.8933,95.3214,82.13,67,43,7.2
280,Honavar,IN,2022-01-30 06:33:10,14.2833,74.45,91.71,32,7,6.24
281,Jibuti,DJ,2022-01-30 06:28:50,11.5,42.5,74.62,58,85,14.18
282,Monte Alegre De Sergipe,BR,2022-01-30 06:33:11,-10.0272,-37.5622,73.74,67,100,6.62
283,Cockburn Town,TC,2022-01-30 06:33:11,21.4612,-71.1419,76.8,72,18,10.54
284,Faya,SA,2022-01-30 06:33:11,18.3851,42.4509,59.11,45,58,9.31
285,Korla,CN,2022-01-30 06:33:12,41.7597,86.1469,31.42,36,100,4.34
286,Port Hardy,CA,2022-01-30 06:33:12,50.6996,-127.4199,47.75,87,100,20.71
287,Vao,NC,2022-01-30 06:33:12,-22.6667,167.4833,79.95,86,40,16.91
288,Cognac,FR,2022-01-30 06:33:12,45.5,-0.25,41.77,100,100,2.3
289,Watertown,US,2022-01-30 06:33:00,42.3709,-71.1828,13.33,81,0,7.0
290,Leh,IN,2022-01-30 06:33:13,34.1667,77.5833,8.08,80,62,2.06
291,Hami,CN,2022-01-30 06:33:13,42.8,93.45,27.79,32,58,1.32
292,Pemba,MZ,2022-01-30 06:33:13,-12.974,40.5178,78.53,80,39,2.26
293,Pisco,PE,2022-01-30 06:33:14,-13.7,-76.2167,69.85,78,0,5.75
294,Ouadda,CF,2022-01-30 06:33:14,8.0777,22.4007,73.51,15,98,8.9
295,Kautokeino,NO,2022-01-30 06:33:14,69.0125,23.0412,-1.14,93,100,4.21
